Name,Pos.,GP,GS,Min,G,A,Y,R,Caps,Goals
"Dahlkemper, Abby",D,9,8,748,0,0,0,,62,0
"Davidson, Tierna",D,1,1,45,0,0,0,,26,1
"Dunn, Crystal",D,9,9,702,0,0,0,,105,24
"Ertz, Julie",M,8,8,694,1,1,0,,103,20
"Franch, Adrianna",GK,1,1,90,0,0,0,,4,
"Harris, Ashlyn",GK,1,1,90,0,0,0,,25,
"Heath, Tobin",F,7,4,358,1,0,1,,169,33
"Horan, Lindsey",M,8,5,503,7,3,0,,86,19
"Howell, Jaelin",M,1,0,1,0,0,0,,1,0
"Krieger, Ali",D,3,3,270,0,1,0,,107,1
"Lavelle, Rose",M,8,7,539,3,0,1,,46,13
"Lloyd, Carli",M,6,5,418,2,3,0,,294,123
"McDonald, Jessica",F,5,3,245,2,1,0,,19,4
"Mewis, Kristie",M,1,0,29,1,0,0,,16,2
"Mewis, Samantha",M,8,6,548,4,1,0,,68,18
"Morgan, Alex",F,1,0,45,0,0,0,,170,107
"Naeher, Alyssa",GK,7,7,630,0,0,0,,64,
"O'Hara, Kelley",D,7,5,471,0,1,0,,132,2
"Press, Christen",F,9,6,484,7,3,0,,139,58
"Pugh, Mallory",F,1,0,30,0,1,0,,63,18
"Purce, Margaret",D,1,0,14,0,0,0,,2,0
"Rapinoe, Megan",F,8,4,366,2,5,0,,168,52
"Sauerbrunn, Becky",D,7,6,585,0,0,0,,178,0
"Short, Casey",D,1,0,30,0,0,0,,32,0
"Smith, Sophia",F,1,0,15,0,0,0,,1,0
"Sonnett, Emily",D,6,4,384,0,0,0,,46,0
"Sullivan, Andi",M,1,1,90,0,0,0,,16,0
"Williams, Lynn",F,8,5,486,3,6,0,,29,
